region,year,T2M,T2M_MAX,T2M_MIN,T2MDEW,T2MWET,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,WS2M,WS2M_MAX,WS2M_MIN,WD2M,PS,QV2M,GWETROOT,GWETTOP,GWETPROF,T2M_RANGE,PRECTOTCORR,total_precip_mm,avg_precip_mm,rainy_days,1 km monthly NDVI,1 km monthly EVI,1 km monthly VI Quality,1 km monthly red reflectance,1 km monthly NIR reflectance,1 km monthly blue reflectance,1 km monthly MIR reflectance
Eastern,2005,-0.5185214031457769,-0.46936288218395655,-0.20722608993706979,0.25994315113133,0.0607065150464764,0.42991495817812037,-0.3934042258600947,-0.10655803621951916,-0.09806724660985368,0.22099755877913618,0.10628274363274781,0.47309898688218227,0.31710082397681766,-0.6736361504672512,0.263842950566272,0.2545888766941133,0.27215302508335987,0.10160218989982434,-0.2803372865782863,0.023537385598429366,0.1725176421243667,0.17215603613438593,-0.01687589575057837,0.7370766775345116,0.6566685029464003,0.3514442991013383,-0.6647190102285383,0.2942217362736177,-0.3718286200955614,-0.7221770540914497
Eastern,2006,-0.6200578566582354,-0.6521765129605451,-0.1927246424080443,0.3350368397798779,0.09601781219752108,0.5650564657654551,-0.2523546553516302,-0.05598146155258093,-0.030231355320177216,0.056623711127157784,-0.06491286016812642,0.3002754027078945,0.3847964868351732,-0.6778341584474572,0.35015768120756746,0.4407161494224825,0.4744338828195498,0.2846924364713575,-0.44547892234435044,0.06315189618772021,0.20736629465682824,0.20742398500476125,0.3742541896840466,0.8921385971250168,0.9019147301776065,0.21318554020273872,-0.7716538856484022,0.5949625232485217,-0.45634822486091275,-0.7733836236475464
Eastern,2007,-0.5488153962136008,-0.5105609973925275,-0.2347331018127402,0.16292185318546537,-0.04347686632138289,0.36102516251926947,-0.3152157620841791,-0.1288569560811503,-0.07590374756258093,0.09524915898849166,0.009002717748823738,0.20154258753957563,0.20317963162885064,-0.6860855183299585,0.14388977280895834,0.2364253246203553,0.2290000563680237,0.08351359597616574,-0.299468205419504,-0.023005722370913056,0.5620247069735993,0.5677590938347593,0.26424885315555835,0.807087200448168,0.8940480548433763,0.07605511304503422,-0.7182621461798399,0.631487950961875,-0.454400466345298,-0.7199404197308562
Eastern,2008,-0.5011149499153178,-0.33531323109873584,-0.3365822985723557,0.10126278228361442,-0.08538367788423253,0.25005845980058594,-0.2421382747954414,-0.08162772443835527,-0.05598600506138072,-0.04415734318405969,0.036374206371977476,-0.03452807463283312,0.003821822323341264,-0.7300351821992249,0.044362561912150746,-0.12600943323538236,-0.04452802749098394,-0.26667642459955543,-0.08947910487436513,-0.14626426398203118,0.5684693649781292,0.5641885960717573,0.45981389587287086,0.8599373878634039,0.79276993536151,0.03868096875609021,-0.8508932241913966,0.3327416280733015,-0.5663004170528935,-0.8405552118249778
Eastern,2009,-0.3413711898470017,-0.31136908824118187,-0.11752126202420603,0.24422008189842648,0.11036996682008722,0.3503844953732189,-0.3870354537926654,-0.047961244421018345,-0.08832379035559823,-0.0353683160828685,0.0024548627274819193,-0.05824929615974212,0.2516659174307609,-0.6906268502170515,0.23108686014358637,0.04910680283146133,0.09410729849076233,-0.10288894960160226,-0.19769536405206026,-0.030722714365829868,0.22526020766866361,0.23006364592952436,0.3375857441745505,0.5632817158268486,0.6457073477218849,0.05968988458592684,-0.21988576973964324,0.7067620238487624,0.21115782941968045,-0.5370870629705475
Eastern,2010,-0.165469221137287,-0.22659132509612656,0.09320640412921928,0.30614786236163877,0.23397006974807877,0.35756200413909456,-0.306743899846696,-0.04443469629295432,-0.05262065421852452,0.04872276648118704,-0.010094350651149192,0.21304092705897118,0.3122138011904534,-0.7113746039663794,0.313677605737543,0.18336380773980254,0.19302079406333783,0.021847683475490338,-0.24889724150993064,0.07590533848701185,0.40463003452113516,0.41088828944356465,0.48425952621253493,0.8860748172849188,0.9153015645269275,0.10365301823408198,-0.8134307128682826,0.5718639046868327,-0.5154504446445695,-0.7917578731771852
Eastern,2011,-0.6186042317647438,-0.5632659653070332,-0.29224726056140454,0.25140359095875575,0.015962548788045806,0.46886042256693056,-0.2486041959129599,-0.07303027363900172,-0.049319082580571265,-0.040850134387668435,-0.02870200779823141,0.11285551725505887,0.16588737380226787,-0.7247826378152679,0.24061558608069467,0.5270044069499698,0.5043395684181057,0.3747795951203354,-0.3108237793299207,0.1343949436792544,0.450782874544603,0.45444868832435575,0.5087051565521991,0.7312687660594531,0.7578201512619538,0.33683858946889833,-0.5439451373353424,0.5787221580130553,-0.1576493999725177,-0.7165011410891656
Eastern,2012,-0.49527065667959574,-0.3840868089692191,-0.2800842735770476,0.15732235482792414,-0.029446837330622425,0.31725794066082713,-0.39685838227428144,-0.0907579470180883,-0.10124236286001986,0.032686097986644604,-0.020873300001604256,0.09775891160899101,0.36105700474935176,-0.6515905371697773,0.1074433430185948,0.07615779774612469,0.11893128021896837,-0.07870634850941978,-0.1644650341686043,0.006554438071154374,0.16398235213075424,0.16608039859889756,0.27647166832539044,0.7413407311324968,0.749332303438242,0.04031184860395709,-0.6276376684994246,0.4795386252385369,-0.3223667914978872,-0.691829077762557
Eastern,2013,-0.08441002374104677,0.12734533172811602,-0.1456916012059312,0.10274042895272295,0.06796792738077384,0.05663446293769797,-0.2138429284525202,0.008115880587440413,-0.025072560369613094,0.30921030058701565,0.1886930379448273,0.48181854147469033,0.18191089469436608,-0.654198905814639,0.02014807652141995,-0.5776627783212447,-0.5307161640081951,-0.7143479495265804,0.1947138398867633,-0.37321988552484475,-0.38356311391851977,-0.38043663375311815,0.11757507111757394,0.7649664817730724,0.7254099901118701,0.27043992309223736,-0.656853579608155,0.41611119875949343,-0.320626985897734,-0.6697241673139757
Eastern,2014,-0.1478388748419803,-0.14933202769185977,-0.003196210301888764,0.22386105291722094,0.16129061487271387,0.24406177523125258,-0.2832905524384804,0.020455207471006542,-0.04665605103943279,0.16878318187335192,0.07149359701797574,0.2505816102171661,0.3508468680311403,-0.6345733867614884,0.19000816539976662,-0.19987563599537816,-0.21278136920545962,-0.3507072953061056,-0.12605739736925495,-0.08039157510234413,0.09912937608252703,0.10267586155603603,0.19091196213656617,0.8312311853771469,0.8079295021972225,0.5334331018439381,-0.7236482766485451,0.475275108014322,-0.3811713693807967,-0.7600211882116553
